what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1410942944616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410942945546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410942949532
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410942951689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410942953934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410942955708
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410942956522
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410942958753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1410942968132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410942969170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410942972330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1410942995129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1410943028432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1410943092763
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1410943092955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410943111406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410943113909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410943116901
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410943122080
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410943123240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410943126940
